Index,Budget 2019-2020 Revenue,Budget 2020-2021 Total,Actual 2018-2019 Capital,Budget 2019-2020 Total,Budget 2020-2021 Revenue,Actual 2018-2019 Total,_full_text,Particulars,Revised 2019-2020 Total,Actual 2018-2019 Revenue,Budget 2020-2021 Capital,Revised 2019-2020 Revenue,Budget 2019-2020 Capital,_id,Type,Revised 2019-2020 Capital
9,,,,,,,'9':1 'hazard':2 'hsm':5 'manag':4 'substanc':3,Hazardous Substances Management (HSM),,,,,,47,,
9.01,15,12,...,15,12,12.96,"'12':10,11 '12.96':4,5 '15':6,7 '4.25':8,9 '9.01':1 'compon':3 'programm':2",Programme Component,4.25,12.96,...,4.25,...,48,,...
9.02,...,...,...,...,...,...,'9.02':1 'compon':3 'eap':2,EAP Component,...,...,...,...,...,49,,...
,15,12,...,15,12,12.96,"'12':12,13 '12.96':6,7 '15':8,9 '4.25':10,11 'hazard':2 'hsm':5 'manag':4 'substanc':3 'total':1",Total- Hazardous Substances Management (HSM),4.25,12.96,...,4.25,...,50,,...
10,40,40,...,40,40,33.17,"'10':1 '15':10,11 '33.17':6,7 '40':8,9,12,13 'action':4 'chang':3 'climat':2 'plan':5",Climate Change Action Plan,15,33.17,...,15,...,51,,...
11,100,80,...,100,80,109.78,"'100':7,8 '109.78':5,6 '11':1 '40':9,10 '80':11,12 'adapt':3 'fund':4 'nation':2",National Adaptation Fund,40,109.78,...,40,...,52,,...
12,50,50,...,50,50,50,"'12':1 '47':11,12 '50':7,8,9,10,13,14 'himalayan':5 'mission':3 'nation':2 'studi':6",National Mission on Himalayan Studies,47,50,...,47,...,53,,...
,215,192,...,215,192,225.63,"'116.25':13,14 '192':15,16 '215':11,12 '225.63':9,10 'develop':8 'environ':3 'manag':5 'protect':4 'sustain':7 'total':2 'total-environ':1","Total-Environment Protection, Management and Sustainable Development",116.25,225.63,...,116.25,...,54,,...
,,,,,,,'awar':6 'decis':1 'environment':5 'evalu':11 'outcom':10 'plan':8 'polici':7 'support':2 'system':3,"Decision support System for Environmental Awareness, Policy, Planning and Outcome Evaluation",,,,,,55,,
13,82,114.36,...,82,114.36,69.45,"'114.36':13,14 '13':1 '69.45':7,8 '72':11,12 '82':9,10 'awar':4 'educ':3 'environment':2 'train':6","Environmental Education, Awareness and Training",72,69.45,...,72,...,56,,...
14,46,40,...,46,40,23.84,"'14':1 '23.84':6,7 '28':10,11 '40':12,13 '46':8,9 'envi':5 'environ':2 'inform':3 'system':4",Environment Information Systems (ENVIS),28,23.84,...,28,...,57,,...
15,15,14,...,15,14,14.06,"'11.5':9,10 '14':11,12 '14.06':5,6 '15':1,7,8 'centr':2 'excel':4",Centres of Excellence,11.5,14.06,...,11.5,...,58,,...
16,10,7.5,...,10,7.5,1.56,"'1.56':9,10 '10':11,12 '16':1 '4.5':13,14 '7.5':15,16 'conserv':6 'd':4 'develop':8 'r':2",R and D for Conservation and Development,4.5,1.56,...,4.5,...,59,,...
,153,175.86,...,153,175.86,108.91,"'108.91':14,15 '116':18,19 '153':16,17 '175.86':20,21 'awar':8 'decis':3 'environment':7 'evalu':13 'outcom':12 'plan':10 'polici':9 'support':4 'system':5 'total':2 'total-decis':1","Total-Decision support System for Environmental Awareness, Policy, Planning and Outcome Evaluation",116,108.91,...,116,...,60,,...
17,460,460,...,460,460,4.95,"'17':1 '4.95':5,6 '445':9,10 '460':7,8,11,12 'control':2 'pollut':4",Control of Pollution,445,4.95,...,445,...,61,,...
,1008.8,1017.23,...,1008.8,1017.23,610.41,"'1008.8':8,9 '1017.23':12,13 '610.41':6,7 '859.05':10,11 'central':3 'schemes/projects':5 'sector':4 'total':2 'total-centr':1",Total-Central Sector Schemes/Projects,859.05,610.41,...,859.05,...,62,,...
,,,,,,,'central':2 'expenditur':4 'sector':3,Other Central Sector Expenditure,,,,,,63,,
,,,,,,,'bodi':4 'regulatori':3 'statutori':1,Statutory and Regulatory Bodies,,,,,,64,,
18,...,...,...,...,...,9.78,"'18':1 '9.78':5,6 'anim':2 'board':4 'welfar':3",Animal Welfare Board,...,9.78,...,...,...,65,,...
19,100,100,...,100,100,114.42,"'100':8,9,10,11,12,13 '114.42':6,7 '19':1 'board':5 'central':2 'control':4 'pollut':3",Central Pollution Control Board,100,114.42,...,100,...,66,,...
20,15,12,...,15,12,12,"'12':5,6,11,12 '15':7,8 '20':1 '8.5':9,10 'author':4 'central':2 'zoo':3",Central Zoo Authority,8.5,12,...,8.5,...,67,,...
21,22,23,...,22,23,19,"'19':5,6 '20':9,10 '21':1 '22':7,8 '23':11,12 'author':4 'biodivers':3 'nation':2",National Biodiversity Authority,20,19,...,20,...,68,,...
22,10,10.5,...,10,10.5,9.87,"'10':8,9 '10.5':12,13 '22':1 '9':10,11 '9.87':6,7 'author':5 'conserv':4 'nation':2 'tiger':3",National Tiger Conservation Authority,9,9.87,...,9,...,69,,...
,147,145.5,...,147,145.5,165.07,"'137.5':11,12 '145.5':13,14 '147':9,10 '165.07':7,8 'bodi':6 'regulatori':5 'statutori':3 'total':2 'total-statutori':1",Total-Statutory and Regulatory Bodies,137.5,165.07,...,137.5,...,70,,...
23,27.9,28,...,27.9,28,27.5,"'23':1 '25':14,15 '27.5':10,11 '27.9':12,13 '28':16,17 'develop':9 'environ':7 'gb':2 'himalayan':4 'institu':5 'pant':3",GB Pant Himalayan Institue of Environment and Development,25,27.5,...,25,...,72,,...
24,215,230,...,215,230,220.99,"'215':11,12 '220.99':9,10 '230':13,14,15,16 '24':1 'council':3 'educ':8 'forestri':5 'indian':2 'research':6",Indian Council of Forestry Research and Education,230,220.99,...,230,...,73,,...
